step;avg_r;avg_l;avg_q;avg_ep_r;max_ep_r;min_ep_r
50000;0,8242;0,028529;0,439808;117,7371;616,0000;0,0000
75000;0,7726;0,013462;0,595162;110,8902;572,0000;0,0000
100000;0,8240;0,009239;0,730783;121,3728;616,0000;0,0000
125000;0,8069;0,010063;0,878662;113,2203;484,0000;0,0000
150000;0,8043;0,009891;0,987361;112,9663;484,0000;0,0000
175000;0,8149;0,010610;1,095644;115,1543;528,0000;0,0000
200000;0,8483;0,012904;1,230569;121,8851;528,0000;0,0000
225000;0,8202;0,015714;1,403836;109,6471;440,0000;0,0000
250000;0,8731;0,020760;1,532895;129,4048;572,0000;0,0000
275000;0,7874;0,023367;1,643774;108,2652;440,0000;0,0000
300000;0,9250;0,025320;1,828673;140,7853;528,0000;0,0000
325000;0,9134;0,029789;2,019626;154,1497;572,0000;0,0000
350000;0,9384;0,028958;2,242099;163,1329;676,0000;0,0000
375000;0,9278;0,026141;2,426755;162,2098;708,0000;0,0000
400000;1,0064;0,026403;2,586096;170,8219;804,0000;0,0000
425000;0,8920;0,027590;2,827565;154,8732;440,0000;0,0000
450000;1,0203;0,025948;3,001012;191,2424;660,0000;0,0000
475000;1,0179;0,027547;3,248642;192,2443;660,0000;0,0000
500000;0,9546;0,029298;3,488046;180,1212;632,0000;0,0000
525000;1,0278;0,029693;3,764149;183,9710;708,0000;0,0000
550000;0,9872;0,029697;4,032494;182,8148;804,0000;0,0000
575000;0,8990;0,031174;4,310495;161,7059;672,0000;0,0000
600000;0,9563;0,027543;4,463171;178,0896;572,0000;0,0000
625000;0,9973;0,028531;4,623516;198,0480;708,0000;0,0000
650000;1,0694;0,031360;4,838577;213,8387;852,0000;0,0000
675000;1,1331;0,035549;5,159156;222,3810;1044,0000;0,0000
700000;1,1891;0,036395;5,358365;234,0787;1096,0000;0,0000
725000;1,1126;0,037036;5,386305;216,6250;660,0000;0,0000
750000;1,1602;0,036813;5,538817;239,1333;784,0000;0,0000
775000;1,1109;0,038723;5,574461;227,2787;964,0000;0,0000
800000;1,0619;0,035082;5,781937;228,4828;928,0000;0,0000
825000;1,1768;0,035272;5,969984;255,3684;1068,0000;0,0000
850000;1,2718;0,041347;6,203390;271,7607;756,0000;0,0000
875000;1,0662;0,041041;6,396677;243,7757;804,0000;0,0000
900000;1,2773;0,042111;6,636982;281,8053;672,0000;0,0000
925000;1,1006;0,041081;6,837872;251,2294;672,0000;0,0000
950000;0,8870;0,040053;6,928419;249,1685;660,0000;0,0000
975000;1,2090;0,041057;7,070702;287,8476;1140,0000;0,0000
1000000;1,1886;0,045712;7,173378;300,0816;1292,0000;0,0000
1025000;0,9741;0,043903;7,431994;276,7273;1332,0000;0,0000
1050000;1,0408;0,043379;7,565144;269,6667;1044,0000;0,0000
1075000;1,0067;0,041623;7,692368;282,2472;1108,0000;0,0000
1100000;1,1280;0,042109;7,869004;297,6596;948,0000;0,0000
