step;avg_r;avg_l;avg_q;avg_ep_r;max_ep_r;min_ep_r
50000;0,5268;0,081256;1,121080;15,4588;90,0000;0,0000
75000;0,5496;0,080882;1,326257;16,5422;110,0000;0,0000
100000;0,5496;0,100506;1,529812;16,2633;80,0000;0,0000
125000;0,5760;0,134075;1,686674;16,7911;120,0000;0,0000
150000;0,6076;0,179712;1,855356;18,7531;90,0000;0,0000
175000;0,6076;0,293391;2,357215;18,3192;100,0000;0,0000
200000;0,6584;0,389424;2,885509;19,8075;110,0000;0,0000
225000;0,6108;0,475876;3,679649;18,7592;110,0000;0,0000
250000;0,5984;0,493186;4,025003;18,3292;130,0000;0,0000
275000;0,5528;0,485916;4,325694;16,9951;100,0000;0,0000
300000;0,5448;0,464695;4,445077;16,2024;90,0000;0,0000
325000;0,5056;0,475905;4,430891;15,1986;90,0000;0,0000
350000;0,5184;0,437568;4,443115;14,9481;90,0000;0,0000
375000;0,4716;0,486988;4,555782;13,8869;90,0000;0,0000
400000;0,5076;0,555876;4,559973;15,4070;140,0000;0,0000
425000;0,4840;0,748306;4,849267;14,4910;100,0000;0,0000
450000;0,4596;0,879903;5,007524;13,4706;100,0000;0,0000
475000;0,4976;1,135950;5,594728;14,5210;90,0000;0,0000
500000;0,4776;1,665514;6,413633;13,6770;100,0000;0,0000
525000;0,4752;2,222284;7,023898;14,0094;100,0000;0,0000
550000;0,4632;3,149450;7,779415;13,6321;90,0000;0,0000
575000;0,4920;3,741955;8,898998;14,6081;100,0000;0,0000
600000;0,4800;2,457507;8,180460;14,6871;100,0000;0,0000
625000;0,5588;2,331149;7,662272;16,5403;90,0000;0,0000
650000;0,5180;3,380175;10,440013;15,0000;610,0000;0,0000
675000;0,5352;3,729570;11,972854;15,4503;90,0000;0,0000
700000;0,5176;4,178163;11,624326;15,0992;70,0000;0,0000
725000;0,5628;4,215476;13,358947;16,6391;80,0000;0,0000
750000;0,6096;3,957702;11,800264;17,6185;80,0000;0,0000
775000;0,6520;5,655275;15,377376;17,7174;100,0000;0,0000
800000;0,6820;6,909084;21,988280;19,1789;80,0000;0,0000
825000;0,6228;13,856158;36,407727;16,8872;100,0000;0,0000
850000;0,6844;17,786242;48,988739;19,3658;100,0000;0,0000
875000;0,6808;18,864650;54,387094;19,0787;80,0000;0,0000
900000;0,6048;15,336551;51,192341;16,6337;110,0000;0,0000
925000;0,5776;17,390616;61,550396;17,9602;80,0000;0,0000
950000;0,8312;24,412223;85,746357;30,5761;80,0000;0,0000
975000;0,8996;30,929541;113,790580;33,4077;140,0000;0,0000
1000000;0,7800;35,730972;139,107423;25,1421;140,0000;0,0000
1025000;1,0732;48,278115;175,096099;41,9219;690,0000;0,0000
1050000;0,9568;58,712625;211,288695;41,1360;120,0000;0,0000
1075000;0,9332;63,515380;256,563719;40,7881;120,0000;0,0000
1100000;0,9472;70,773393;297,362736;39,4983;100,0000;0,0000
1125000;0,9944;89,401443;356,788918;39,4444;120,0000;0,0000
1150000;1,0984;101,055779;405,388275;42,0061;140,0000;0,0000
1175000;1,0520;130,476273;404,094371;40,0305;120,0000;0,0000
1200000;1,0820;112,565196;326,983915;40,4948;110,0000;0,0000
1225000;0,9600;58,765005;300,013139;35,5407;110,0000;0,0000
1250000;0,6364;51,577902;273,655842;22,3174;150,0000;0,0000
1275000;0,6504;56,666484;320,657408;23,5072;110,0000;0,0000
