step;avg_r;avg_l;avg_q;avg_ep_r;max_ep_r;min_ep_r
50000;-0,0670;0,034587;0,076073;-19,5529;-17,0000;-20,0000
75000;-0,0647;0,034042;-0,074135;-19,3373;-7,0000;-20,0000
100000;-0,0659;0,034013;-0,217365;-19,4643;-8,0000;-20,0000
125000;-0,0669;0,033333;-0,364685;-19,3837;-6,0000;-20,0000
150000;-0,0658;0,032944;-0,496833;-19,4405;-14,0000;-20,0000
175000;-0,0658;0,033135;-0,629147;-19,3571;-8,0000;-20,0000
200000;-0,0671;0,033044;-0,731571;-19,4070;-1,0000;-20,0000
225000;-0,0669;0,033024;-0,855578;-19,4070;-11,0000;-20,0000
250000;-0,0675;0,032937;-0,971759;-19,5465;-16,0000;-20,0000
275000;-0,0678;0,033482;-1,072308;-19,5349;-13,0000;-20,0000
300000;-0,0668;0,033017;-1,160819;-19,3372;-5,0000;-20,0000
325000;-0,0680;0,033542;-1,251714;-19,5057;-13,0000;-20,0000
350000;-0,0660;0,033410;-1,317658;-19,4524;-17,0000;-20,0000
375000;-0,0680;0,033457;-1,383204;-19,4713;-4,0000;-20,0000
400000;-0,0683;0,033652;-1,479404;-19,5747;-15,0000;-20,0000
425000;-0,0689;0,034077;-1,550613;-19,5795;-14,0000;-20,0000
450000;-0,0674;0,034356;-1,625046;-19,5233;-18,0000;-20,0000
475000;-0,0690;0,034555;-1,729298;-19,6207;-15,0000;-20,0000
500000;-0,0706;0,034622;-1,795621;-19,5111;-3,0000;-20,0000
525000;-0,0695;0,035010;-1,871554;-19,5909;-9,0000;-20,0000
550000;-0,0697;0,035477;-1,936356;-19,5618;-6,0000;-20,0000
575000;-0,0694;0,035979;-2,032543;-19,7356;-18,0000;-20,0000
600000;-0,0694;0,036537;-2,129276;-19,4157;-1,0000;-20,0000
625000;-0,0698;0,036568;-2,165736;-19,5955;-12,0000;-20,0000
650000;-0,0729;0,037128;-2,252530;-19,7826;-16,0000;-20,0000
675000;-0,0699;0,036891;-2,285665;-19,6477;-16,0000;-20,0000
700000;-0,0729;0,037387;-2,335332;-19,5914;-2,0000;-20,0000
725000;-0,0719;0,037187;-2,405607;-19,7556;-18,0000;-20,0000
750000;-0,0727;0,038035;-2,475908;-19,4946;0,0000;-20,0000
775000;-0,0727;0,038544;-2,562974;-19,7802;-16,0000;-20,0000
800000;-0,0706;0,038964;-2,640673;-19,4667;-2,0000;-20,0000
825000;-0,0734;0,039394;-2,685391;-19,6344;-5,0000;-20,0000
850000;-0,0739;0,039216;-2,726226;-19,6667;-9,0000;-20,0000
875000;-0,0739;0,040230;-2,801817;-19,6383;-2,0000;-20,0000
900000;-0,0734;0,040576;-2,868668;-19,7717;-18,0000;-20,0000
925000;-0,0738;0,040828;-2,940355;-19,6170;-4,0000;-20,0000
950000;-0,0752;0,040349;-2,991854;-19,8936;-18,0000;-20,0000
975000;-0,0752;0,041801;-3,024489;-19,7789;-11,0000;-20,0000
1000000;-0,0752;0,041445;-3,046797;-19,7789;-18,0000;-20,0000
1025000;-0,0760;0,041518;-3,085062;-19,8632;-18,0000;-20,0000
1050000;-0,0762;0,041819;-3,100168;-19,7917;-6,0000;-20,0000
1075000;-0,0766;0,041983;-3,138395;-19,8438;-13,0000;-20,0000
1100000;-0,0756;0,042708;-3,186275;-19,7263;-9,0000;-20,0000
1125000;-0,0758;0,042562;-3,220384;-19,7500;-3,0000;-20,0000
1150000;-0,0770;0,042749;-3,271033;-19,9062;-18,0000;-20,0000
1175000;-0,0764;0,043796;-3,344660;-19,7708;-6,0000;-20,0000
1200000;-0,0757;0,043032;-3,411477;-19,7263;-8,0000;-20,0000
1225000;-0,0760;0,043255;-3,423292;-19,7083;-2,0000;-20,0000
1250000;-0,0758;0,044143;-3,467780;-19,7895;-12,0000;-20,0000
1275000;-0,0764;0,043638;-3,494060;-19,7188;-6,0000;-20,0000
1300000;-0,0767;0,044535;-3,526294;-19,7423;-4,0000;-20,0000
1325000;-0,0758;0,043823;-3,600914;-19,8526;-17,0000;-20,0000
1350000;-0,0762;0,044739;-3,647290;-19,8125;-10,0000;-20,0000
1375000;-0,0763;0,045015;-3,672625;-19,8842;-17,0000;-20,0000
1400000;-0,0764;0,045026;-3,707291;-19,6875;-1,0000;-20,0000
1425000;-0,0753;0,045924;-3,734911;-19,6316;0,0000;-20,0000
1450000;-0,0757;0,045285;-3,762791;-19,6771;-2,0000;-20,0000
1475000;-0,0759;0,045952;-3,803517;-19,8526;-16,0000;-20,0000
1500000;-0,0766;0,045643;-3,837743;-19,7917;-9,0000;-20,0000
1525000;-0,0751;0,045992;-3,859291;-19,6737;-6,0000;-20,0000
1550000;-0,0754;0,045624;-3,853539;-19,8211;-12,0000;-20,0000
1575000;-0,0758;0,045300;-3,902009;-19,8632;-17,0000;-20,0000
1600000;-0,0760;0,045917;-3,941180;-19,8000;-10,0000;-20,0000
1625000;-0,0765;0,045888;-3,974255;-19,6907;0,0000;-20,0000
1650000;-0,0755;0,045956;-3,976053;-19,8421;-18,0000;-20,0000
1675000;-0,0772;0,045904;-3,969971;-19,8854;-17,0000;-20,0000
1700000;-0,0756;0,045503;-3,998895;-19,6458;0,0000;-20,0000
1725000;-0,0748;0,047226;-4,031019;-19,7766;-16,0000;-20,0000
1750000;-0,0766;0,045906;-4,034411;-19,8438;-9,0000;-20,0000
1775000;-0,0761;0,046667;-4,053240;-19,7708;-9,0000;-20,0000
1800000;-0,0759;0,046216;-4,061143;-19,8421;-16,0000;-20,0000
1825000;-0,0753;0,046043;-4,071771;-19,7158;-7,0000;-20,0000
1850000;-0,0752;0,046145;-4,078951;-19,7579;-10,0000;-20,0000
1875000;-0,0765;0,046457;-4,109950;-19,8958;-16,0000;-20,0000
1900000;-0,0764;0,046638;-4,149444;-19,8438;-17,0000;-20,0000
1925000;-0,0753;0,046180;-4,162336;-19,8105;-15,0000;-20,0000
1950000;-0,0764;0,047316;-4,198168;-19,9158;-18,0000;-20,0000
1975000;-0,0762;0,046375;-4,242629;-19,7188;-3,0000;-20,0000
2000000;-0,0757;0,046808;-4,249327;-19,7263;-6,0000;-20,0000
2025000;-0,0756;0,046882;-4,256502;-19,6562;-2,0000;-20,0000
2050000;-0,0756;0,046732;-4,252727;-19,8316;-17,0000;-20,0000
2075000;-0,0770;0,047685;-4,310491;-19,8750;-14,0000;-20,0000
2100000;-0,0765;0,046905;-4,319466;-19,7396;-4,0000;-20,0000
