step;avg_r;avg_l;avg_q;avg_ep_r;max_ep_r;min_ep_r
50000;0,8782;0,043893;0,363236;47,8384;410,0000;0,0000
75000;0,8530;0,041474;0,601296;48,3560;370,0000;0,0000
100000;0,8466;0,041417;0,824166;45,7127;425,0000;0,0000
125000;0,8938;0,045392;1,158712;47,6119;510,0000;0,0000
150000;0,9728;0,051693;1,411125;54,3736;385,0000;0,0000
175000;0,9366;0,061117;1,718089;52,0267;445,0000;0,0000
200000;0,9678;0,075579;2,118102;59,3015;435,0000;0,0000
225000;1,0394;0,095954;2,496832;64,9250;575,0000;0,0000
250000;0,9882;0,102763;2,860588;62,3737;470,0000;0,0000
275000;0,9820;0,114454;3,264074;58,0806;695,0000;0,0000
300000;0,9558;0,127947;3,786210;59,5761;585,0000;0,0000
325000;0,9550;0,138826;4,239339;57,6087;490,0000;0,0000
350000;0,9468;0,151756;4,708165;57,9902;615,0000;0,0000
375000;1,0102;0,162986;5,298248;63,8198;435,0000;0,0000
400000;1,0418;0,166649;5,551094;68,0497;440,0000;0,0000
425000;0,9880;0,170717;6,011096;61,9048;435,0000;0,0000
450000;0,9928;0,179605;6,506203;60,5366;380,0000;0,0000
475000;0,9508;0,196869;7,100121;60,4580;510,0000;0,0000
500000;1,0090;0,194963;7,321395;62,4938;535,0000;0,0000
525000;1,0366;0,199801;7,660030;67,2977;565,0000;0,0000
550000;1,0290;0,210811;7,983851;66,8750;515,0000;0,0000
575000;1,0394;0,212755;8,313666;69,1090;430,0000;0,0000
600000;1,0630;0,216641;8,671253;63,5766;415,0000;0,0000
625000;0,9850;0,220477;8,899984;61,7965;540,0000;0,0000
650000;0,9816;0,235544;9,043790;64,6702;550,0000;0,0000
675000;1,0814;0,224094;9,220411;74,0797;605,0000;0,0000
700000;1,1120;0,223442;9,372144;70,1136;740,0000;0,0000
725000;0,9904;0,229675;9,524053;66,5946;770,0000;0,0000
750000;1,1010;0,243043;9,688440;73,3155;485,0000;0,0000
775000;1,0810;0,243990;10,003216;69,5866;525,0000;0,0000
800000;1,0100;0,260856;10,378241;64,3112;745,0000;0,0000
825000;1,0604;0,248219;10,569605;73,3611;620,0000;0,0000
850000;0,9744;0,261177;10,808672;59,9384;465,0000;0,0000
875000;1,0346;0,291714;11,179108;64,5865;425,0000;0,0000
900000;1,0752;0,281669;11,485298;78,5088;575,0000;0,0000
925000;0,9966;0,278638;11,849728;67,4797;505,0000;0,0000
950000;1,0416;0,289056;11,996267;71,7218;670,0000;0,0000
975000;1,1040;0,294235;12,191241;77,9096;515,0000;0,0000
1000000;1,0466;0,298618;12,341007;66,2468;450,0000;0,0000
1025000;1,1756;0,300708;12,389753;71,7237;595,0000;0,0000
1050000;0,9354;0,300441;12,417883;52,9072;430,0000;0,0000
1075000;1,1206;0,299254;12,353451;75,5135;650,0000;0,0000
1100000;0,9982;0,325113;12,401763;71,2787;770,0000;0,0000
1125000;1,0108;0,293709;12,567784;70,0000;485,0000;0,0000
1150000;1,1116;0,296348;12,705424;76,1233;735,0000;0,0000
1175000;1,0302;0,299671;12,654609;71,3725;595,0000;0,0000
1200000;1,0976;0,279178;12,562329;76,9382;505,0000;0,0000
1225000;1,1012;0,282111;12,597253;72,2572;510,0000;0,0000
1250000;1,2328;0,290652;12,710044;91,7262;605,0000;0,0000
1275000;1,1124;0,291476;13,060626;75,1622;520,0000;0,0000
1300000;1,1952;0,288069;13,108622;86,5942;610,0000;0,0000
1325000;1,2008;0,285809;13,082641;84,3118;635,0000;0,0000
1350000;1,2156;0,278703;13,048584;87,2270;480,0000;0,0000
1375000;1,1890;0,270603;13,022528;76,9948;520,0000;0,0000
1400000;1,2120;0,286261;13,042696;78,8932;560,0000;0,0000
1425000;1,1840;0,293505;13,199246;83,4986;565,0000;0,0000
1450000;1,2354;0,291708;13,378429;93,2931;495,0000;0,0000
1475000;1,0794;0,315820;13,594910;77,0857;485,0000;0,0000
1500000;1,1082;0,310208;13,771395;75,0815;665,0000;0,0000
1525000;1,0668;0,309235;13,708246;73,2555;570,0000;0,0000
1550000;1,1178;0,304499;13,594900;76,5616;585,0000;0,0000
1575000;1,0068;0,310762;13,733697;76,2727;780,0000;0,0000
1600000;1,0116;0,297911;13,685816;75,2679;480,0000;0,0000
1625000;1,0480;0,306505;13,884860;75,9420;540,0000;0,0000
1650000;1,0314;0,305504;13,904901;74,1499;555,0000;0,0000
1675000;1,0682;0,300246;14,034109;78,7758;570,0000;0,0000
1700000;1,1344;0,421382;14,017049;82,4419;555,0000;0,0000
1725000;1,0978;0,362034;13,885694;75,1507;630,0000;0,0000
1750000;1,1218;0,325018;14,170036;81,2754;560,0000;0,0000
1775000;1,0940;0,305410;14,248525;78,1429;495,0000;0,0000
1800000;1,0706;0,290712;14,492554;74,6508;655,0000;0,0000
1825000;1,1302;0,283823;14,475397;80,9599;550,0000;0,0000
1850000;1,1376;0,287987;14,442857;81,4900;525,0000;0,0000
1875000;1,1488;0,283164;14,375905;78,8366;420,0000;0,0000
